# benchmark mode=per-column warmup=2 iters=5
# column | dtype | rows | input_bytes | compressed_bytes | ratio | comp_ms(min/med/mean) | comp_GBps | decomp_ms(min/med/mean) | decomp_GBps | verify
s_suppkey | i32 | 10000000 | 40000000 | 234396 | 170.651x | 0.145/0.149/0.149 | 269.05 | 0.065/0.070/0.070 | 573.66 | ok
s_name | str | 10000000 | 220000004 | 68823849 | 3.197x | 4.939/4.953/4.951 | 44.41 | 0.948/0.953/0.953 | 230.82 | ok
s_address | str | 10000000 | 290016713 | 202428192 | 1.433x | 1.369/1.388/1.416 | 208.89 | 0.685/0.688/0.689 | 421.49 | ok
s_nationkey | i32 | 10000000 | 40000000 | 6337906 | 6.311x | 0.114/0.118/0.119 | 340.41 | 0.045/0.046/0.047 | 866.85 | ok
s_phone | str | 10000000 | 190000004 | 76117514 | 2.496x | 0.924/0.950/0.944 | 200.06 | 0.447/0.455/0.456 | 417.40 | ok
s_acctbal | t26 | 10000000 | 80000000 | 40929336 | 1.955x | 0.333/0.335/0.336 | 238.50 | 0.201/0.205/0.205 | 390.81 | ok
s_comment | str | 10000000 | 664862329 | 243629028 | 2.729x | 31.456/31.503/31.500 | 21.10 | 2.814/2.829/2.826 | 235.05 | ok
TOTAL | (all) | 10000000 | 1524879050 | 638500221 | 2.388x | 39.281/39.397/39.415 | 38.71 | 5.205/5.246/5.245 | 290.70 | ok
