column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
s_suppkey,i32,10000000,40000000,234396,170.651,0.144993,0.148672,0.149089,269.049,0.064865,0.069728,0.0697796,573.658,1
s_name,str,10000000,220000004,68823849,3.19657,4.93929,4.95349,4.95145,44.4131,0.948165,0.953124,0.952542,230.82,1
s_address,str,10000000,290016713,202428192,1.43269,1.36945,1.38839,1.41577,208.887,0.684995,0.688067,0.688797,421.495,1
s_nationkey,i32,10000000,40000000,6337906,6.31123,0.114112,0.117505,0.118804,340.411,0.045344,0.046144,0.046573,866.852,1
s_phone,str,10000000,190000004,76117514,2.49614,0.924004,0.949732,0.943812,200.056,0.446914,0.455202,0.456348,417.397,1
s_acctbal,t26,10000000,80000000,40929336,1.95459,0.33293,0.335425,0.33563,238.503,0.201473,0.204705,0.204846,390.806,1
s_comment,str,10000000,664862329,243629028,2.72899,31.4563,31.5035,31.5005,21.1044,2.81358,2.82865,2.82636,235.046,1
TOTAL,(all),10000000,1524879050,638500221,2.38822,39.2811,39.3967,39.415,38.7058,5.20534,5.24562,5.24525,290.696,1
