column,dtype,rows,input_bytes,compressed_bytes,ratio,compress_ms_min,compress_ms_median,compress_ms_mean,compress_gbps_median,decompress_ms_min,decompress_ms_median,decompress_ms_mean,decompress_gbps_median,verify_ok
c_custkey,i32,74999925,299999700,1548532,193.732,1.49073,1.50257,1.50424,199.658,0.708451,0.714499,0.713507,419.874,1
c_name,str,74999925,1649998354,377237534,4.3739,28.6227,28.672,28.6659,57.5474,5.65731,5.6694,5.66787,291.036,1
c_address,str,74999925,2174940156,1512224436,1.43824,7.88103,7.88877,7.89851,275.701,3.91048,3.91317,3.91743,555.8,1
c_nationkey,i32,74999925,299999700,47534155,6.31125,0.371137,0.376802,0.377205,796.173,0.171297,0.171713,0.172174,1747.1,1
c_phone,str,74999925,1424998579,615444627,2.3154,3.60728,3.6117,3.61103,394.551,2.37636,2.37742,2.37783,599.389,1
c_acctbal,t26,74999925,599999400,303178492,1.97903,1.61217,1.61518,1.618,371.476,1.05354,1.05408,1.05459,569.213,1
c_mktsegment,str,74999925,975002340,28784240,33.8728,4.67231,4.68424,4.68483,208.145,3.86127,3.86421,3.86784,252.316,1
c_comment,str,74999925,5737484452,2068055086,2.77434,250.596,250.648,250.777,22.8906,21.7551,21.7639,21.7644,263.623,1
TOTAL,(all),74999925,13162422681,4954007102,2.65692,298.853,298.999,299.137,44.0217,39.4938,39.5284,39.5357,332.986,1
