engine,query,iteration,runtime_s
sirius,q1,0,0.125724
sirius,q1,1,0.071229
sirius,q1,2,0.066754
sirius,q2,0,0.115136
sirius,q2,1,0.034618
sirius,q2,2,0.034207
sirius,q3,0,0.068679
sirius,q3,1,0.029906
sirius,q3,2,0.029986
sirius,q4,0,0.048704
sirius,q4,1,0.025964
sirius,q4,2,0.025897
sirius,q5,0,0.065186
sirius,q5,1,0.038651
sirius,q5,2,0.039195
sirius,q6,0,0.031055
sirius,q6,1,0.010536
sirius,q6,2,0.010474
sirius,q7,0,0.065264
sirius,q7,1,0.039644
sirius,q7,2,0.040077
sirius,q8,0,0.054096
sirius,q8,1,0.040627
sirius,q8,2,0.040423
sirius,q9,0,0.096886
sirius,q9,1,0.092461
sirius,q9,2,0.094005
sirius,q10,0,0.042719
sirius,q10,1,0.037411
sirius,q10,2,0.037520
sirius,q11,0,0.036624
sirius,q11,1,0.018134
sirius,q11,2,0.017432
sirius,q12,0,0.061667
sirius,q12,1,0.030768
sirius,q12,2,0.030699
sirius,q13,0,0.018472
sirius,q13,1,0.017444
sirius,q13,2,0.017269
sirius,q14,0,0.017749
sirius,q14,1,0.016887
sirius,q14,2,0.016906
sirius,q15,0,0.033933
sirius,q15,1,0.017005
sirius,q15,2,0.016611
sirius,q16,0,0.147066
sirius,q16,1,0.046805
sirius,q16,2,0.046139
sirius,q17,0,0.057229
sirius,q17,1,0.034746
sirius,q17,2,0.034928
sirius,q18,0,0.133611
sirius,q18,1,0.132604
sirius,q18,2,0.133097
sirius,q19,0,0.079221
sirius,q19,1,0.045089
sirius,q19,2,0.044515
sirius,q20,0,0.045200
sirius,q20,1,0.036538
sirius,q20,2,0.036774
sirius,q21,0,0.113720
sirius,q21,1,0.098001
sirius,q21,2,0.098669
sirius,q22,0,0.039236
sirius,q22,1,0.022481
sirius,q22,2,0.022099
