engine,query,iteration,runtime_s
sirius,q1,0,0.155470
sirius,q1,1,0.110302
sirius,q1,2,0.089352
sirius,q2,0,0.115890
sirius,q2,1,0.034370
sirius,q2,2,0.034390
sirius,q3,0,0.064739
sirius,q3,1,0.032442
sirius,q3,2,0.032157
sirius,q4,0,0.048748
sirius,q4,1,0.026689
sirius,q4,2,0.026491
sirius,q5,0,0.064766
sirius,q5,1,0.039175
sirius,q5,2,0.039249
sirius,q6,0,0.032824
sirius,q6,1,0.013151
sirius,q6,2,0.012945
sirius,q7,0,0.069251
sirius,q7,1,0.043896
sirius,q7,2,0.044023
sirius,q8,0,0.051939
sirius,q8,1,0.039090
sirius,q8,2,0.039358
sirius,q9,0,0.096681
sirius,q9,1,0.093260
sirius,q9,2,0.092729
sirius,q10,0,0.039021
sirius,q10,1,0.035097
sirius,q10,2,0.034837
sirius,q11,0,0.036817
sirius,q11,1,0.017793
sirius,q11,2,0.017661
sirius,q12,0,0.060979
sirius,q12,1,0.026783
sirius,q12,2,0.026908
sirius,q13,0,0.018427
sirius,q13,1,0.017462
sirius,q13,2,0.017426
sirius,q14,0,0.018457
sirius,q14,1,0.017437
sirius,q14,2,0.017558
sirius,q15,0,0.035556
sirius,q15,1,0.017917
sirius,q15,2,0.017859
sirius,q16,0,0.147073
sirius,q16,1,0.047008
sirius,q16,2,0.046235
sirius,q17,0,0.056497
sirius,q17,1,0.034345
sirius,q17,2,0.034433
sirius,q18,0,0.135408
sirius,q18,1,0.134752
sirius,q18,2,0.134543
sirius,q19,0,0.072632
sirius,q19,1,0.037774
sirius,q19,2,0.037727
sirius,q20,0,0.048635
sirius,q20,1,0.039936
sirius,q20,2,0.039331
sirius,q21,0,0.115375
sirius,q21,1,0.098587
sirius,q21,2,0.098997
sirius,q22,0,0.039214
sirius,q22,1,0.022097
sirius,q22,2,0.022175
