engine,query,iteration,runtime_s
sirius,q1,0,0.125735
sirius,q1,1,0.069110
sirius,q1,2,0.069267
sirius,q2,0,0.124027
sirius,q2,1,0.034063
sirius,q2,2,0.034217
sirius,q3,0,0.072704
sirius,q3,1,0.032626
sirius,q3,2,0.032456
sirius,q4,0,0.050047
sirius,q4,1,0.027950
sirius,q4,2,0.027417
sirius,q5,0,0.065297
sirius,q5,1,0.039390
sirius,q5,2,0.040059
sirius,q6,0,0.032507
sirius,q6,1,0.012629
sirius,q6,2,0.012609
sirius,q7,0,0.069784
sirius,q7,1,0.043895
sirius,q7,2,0.043426
sirius,q8,0,0.054010
sirius,q8,1,0.041073
sirius,q8,2,0.040208
sirius,q9,0,0.097935
sirius,q9,1,0.092602
sirius,q9,2,0.094185
sirius,q10,0,0.043299
sirius,q10,1,0.037638
sirius,q10,2,0.037280
sirius,q11,0,0.037026
sirius,q11,1,0.017645
sirius,q11,2,0.017813
sirius,q12,0,0.064162
sirius,q12,1,0.032201
sirius,q12,2,0.031794
sirius,q13,0,0.018759
sirius,q13,1,0.017429
sirius,q13,2,0.017330
sirius,q14,0,0.018252
sirius,q14,1,0.017487
sirius,q14,2,0.017128
sirius,q15,0,0.034246
sirius,q15,1,0.017306
sirius,q15,2,0.017090
sirius,q16,0,0.147462
sirius,q16,1,0.047314
sirius,q16,2,0.046917
sirius,q17,0,0.057373
sirius,q17,1,0.034780
sirius,q17,2,0.034658
sirius,q18,0,0.133860
sirius,q18,1,0.132888
sirius,q18,2,0.133445
sirius,q19,0,0.080348
sirius,q19,1,0.044470
sirius,q19,2,0.044816
sirius,q20,0,0.048112
sirius,q20,1,0.042071
sirius,q20,2,0.040362
sirius,q21,0,0.114677
sirius,q21,1,0.099265
sirius,q21,2,0.098544
sirius,q22,0,0.039663
sirius,q22,1,0.022392
sirius,q22,2,0.021926
