query,run,phase,status,ms,rows
q01,1,warm,pass,16148,4
q01,2,warm,pass,17458,4
q01,3,warm,pass,18409,4
q03,1,warm,pass,8937,10
q03,2,warm,pass,7503,10
q03,3,warm,pass,7477,10
q04,1,warm,pass,2868,5
q04,2,warm,pass,4533,5
q04,3,warm,pass,5790,5
q06,1,warm,pass,7643,1
q06,2,warm,pass,11114,1
q06,3,warm,pass,9278,1
q07,1,warm,pass,10850,4
q07,2,warm,pass,12405,4
q07,3,warm,pass,9884,4
q12,1,warm,pass,6821,2
q12,2,warm,pass,6506,2
q12,3,warm,pass,5314,2
q13,1,warm,pass,3991,40
q13,2,warm,pass,3682,40
q13,3,warm,pass,3687,40
q14,1,warm,pass,5252,1
q14,2,warm,pass,6615,1
q14,3,warm,pass,6339,1
q16,1,warm,pass,2372,27840
q16,2,warm,pass,3892,27840
q16,3,warm,pass,3363,27840
q19,1,warm,pass,6339,1
q19,2,warm,pass,8952,1
q19,3,warm,pass,11861,1
q20,1,warm,pass,9175,72343
q20,2,warm,pass,7311,72343
q20,3,warm,pass,7667,72343
q22,1,warm,pass,2624,7
q22,2,warm,pass,5307,7
q22,3,warm,pass,2384,7
q02,0,cold,wedge,600008,0
q17,0,cold,refused,122023,0
q11,0,cold,wedge,71744,0
