query,run,phase,status,ms,rows
q01,1,warm,pass,6835,4
q01,2,warm,pass,7041,4
q01,3,warm,pass,6848,4
q03,1,warm,pass,1942,10
q03,2,warm,pass,3272,10
q03,3,warm,pass,1838,10
q04,1,warm,pass,1243,5
q04,2,warm,pass,1253,5
q04,3,warm,pass,1268,5
q06,1,warm,pass,1471,1
q06,2,warm,pass,3209,1
q06,3,warm,pass,1461,1
q07,1,warm,pass,3973,4
q07,2,warm,pass,3430,4
q07,3,warm,pass,5128,4
q11,0,cold,wedge,1013,0
q12,1,warm,pass,1734,2
q12,2,warm,pass,1788,2
q12,3,warm,pass,1754,2
q14,1,warm,pass,1935,1
q14,2,warm,pass,1909,1
q14,3,warm,pass,2195,1
q15,1,warm,pass,4167,1
q15,2,warm,pass,3113,1
q15,3,warm,pass,3716,1
q16,1,warm,pass,714,27840
q16,2,warm,pass,732,27840
q16,3,warm,pass,744,27840
q19,1,warm,pass,2001,1
q19,2,warm,pass,1999,1
q19,3,warm,pass,2119,1
q20,1,warm,pass,2442,72343
q20,2,warm,pass,3139,72343
q20,3,warm,pass,2311,72343
q22,1,warm,pass,822,7
q22,2,warm,pass,776,7
q22,3,warm,pass,726,7
q13,1,warm,pass,1522,40
q13,2,warm,pass,1521,40
q13,3,warm,pass,2573,40
q17,1,warm,pass,4288,1
q17,2,warm,pass,4209,1
q17,3,warm,pass,4435,1
q21,0,cold,refused,5505,0
q02,0,cold,refused,301344,0
