query,run,phase,status,ms,rows
q01,1,warm,pass,13760,4
q01,2,warm,pass,13989,4
q01,3,warm,pass,14455,4
q03,1,warm,pass,4707,10
q03,2,warm,pass,2768,10
q03,3,warm,pass,2742,10
q04,1,warm,pass,1567,5
q04,2,warm,pass,3905,5
q04,3,warm,pass,1560,5
q06,1,warm,pass,2084,1
q06,2,warm,pass,2067,1
q06,3,warm,pass,2082,1
q07,1,warm,pass,5421,4
q07,2,warm,pass,5502,4
q07,3,warm,pass,5739,4
q11,0,cold,wedge,940,0
q12,1,warm,pass,1938,2
q12,2,warm,pass,1910,2
q12,3,warm,pass,1966,2
q14,1,warm,pass,3891,1
q14,2,warm,pass,2074,1
q14,3,warm,pass,2250,1
q15,1,warm,pass,5818,1
q15,2,warm,wedge,4269,0
q16,1,warm,pass,1030,27840
q16,2,warm,pass,995,27840
q16,3,warm,pass,991,27840
q19,1,warm,pass,2956,1
q19,2,warm,pass,4884,1
q19,3,warm,pass,2742,1
q20,1,warm,pass,3553,72343
q20,2,warm,pass,5894,72343
q20,3,warm,pass,3087,72343
q22,1,warm,pass,1080,7
q22,2,warm,pass,1043,7
q22,3,warm,pass,1135,7
q13,1,warm,pass,3246,40
q13,2,warm,pass,2049,40
q13,3,warm,pass,2234,40
q17,0,cold,refused,6597,0
q21,0,cold,refused,6838,0
q02,1,warm,pass,1456,100
q02,2,warm,pass,1493,100
q02,3,warm,pass,1435,100
