query,run,phase,status,ms,rows
q01,0,cold,pass,12214,4
q01,1,warm,pass,10425,4
q01,2,warm,pass,10640,4
q02,0,cold,pass,3219,100
q02,1,warm,pass,2621,100
q02,2,warm,pass,2657,100
q03,0,cold,pass,5838,10
q03,1,warm,pass,4978,10
q03,2,warm,pass,5477,10
q04,0,cold,pass,3266,5
q04,1,warm,pass,3423,5
q04,2,warm,pass,3328,5
q05,0,cold,pass,10298,5
q05,1,warm,pass,10126,5
q05,2,warm,pass,10327,5
q06,0,cold,pass,3440,1
q06,1,warm,pass,3514,1
q06,2,warm,pass,3619,1
q07,0,cold,pass,6016,4
q07,1,warm,pass,6527,4
q07,2,warm,pass,6190,4
q08,0,cold,pass,8186,2
q08,1,warm,pass,8078,2
q08,2,warm,pass,8007,2
q09,0,cold,pass,9655,175
q09,1,warm,pass,11176,175
q09,2,warm,pass,9665,175
q10,0,cold,pass,6309,20
q10,1,warm,pass,6435,20
q10,2,warm,pass,6400,20
q11,0,cold,wedge,2292,0
q11,1,warm,wedge,2335,0
q12,0,cold,pass,3951,2
q12,1,warm,pass,2998,2
q12,2,warm,pass,3149,2
q13,0,cold,pass,4405,44
q13,1,warm,pass,3675,44
q13,2,warm,pass,3939,44
q14,0,cold,pass,4224,1
q14,1,warm,pass,4755,1
q14,2,warm,pass,4373,1
q15,0,cold,pass,9328,1
q15,1,warm,pass,9522,1
q15,2,warm,pass,8860,1
q16,0,cold,pass,1531,27840
q16,1,warm,pass,1421,27840
q16,2,warm,pass,1428,27840
q17,0,cold,pass,8381,1
q17,1,warm,pass,8493,1
q17,2,warm,pass,8687,1
q18,0,cold,pass,6375,100
q18,1,warm,pass,6295,100
q18,2,warm,pass,6231,100
q19,0,cold,pass,4465,1
q19,1,warm,pass,4409,1
q19,2,warm,pass,4560,1
q20,0,cold,pass,5919,52347
q20,1,warm,pass,5584,52347
q20,2,warm,pass,5409,52347
q21,0,cold,pass,11431,100
q21,1,warm,pass,10638,100
q21,2,warm,pass,10545,100
q22,0,cold,pass,1635,7
q22,1,warm,pass,1640,7
q22,2,warm,pass,1619,7
