engine,query,iteration,runtime_s
sirius,q1,0,0.147276
sirius,q1,1,0.091278
sirius,q1,2,0.092718
sirius,q2,0,0.118692
sirius,q2,1,0.033325
sirius,q2,2,0.033105
sirius,q3,0,0.064876
sirius,q3,1,0.032160
sirius,q3,2,0.032136
sirius,q4,0,0.048445
sirius,q4,1,0.026321
sirius,q4,2,0.025947
sirius,q5,0,0.064447
sirius,q5,1,0.038813
sirius,q5,2,0.038312
sirius,q6,0,0.032803
sirius,q6,1,0.012843
sirius,q6,2,0.012782
sirius,q7,0,0.068751
sirius,q7,1,0.043545
sirius,q7,2,0.043265
sirius,q8,0,0.051086
sirius,q8,1,0.038409
sirius,q8,2,0.039093
sirius,q9,0,0.097429
sirius,q9,1,0.091481
sirius,q9,2,0.092802
sirius,q10,0,0.038879
sirius,q10,1,0.034714
sirius,q10,2,0.034747
sirius,q11,0,0.036451
sirius,q11,1,0.017324
sirius,q11,2,0.017701
sirius,q12,0,0.061531
sirius,q12,1,0.026672
sirius,q12,2,0.026466
sirius,q13,0,0.017904
sirius,q13,1,0.017417
sirius,q13,2,0.017467
sirius,q14,0,0.018158
sirius,q14,1,0.017457
sirius,q14,2,0.017044
sirius,q15,0,0.036032
sirius,q15,1,0.018178
sirius,q15,2,0.017939
sirius,q16,0,0.147508
sirius,q16,1,0.046612
sirius,q16,2,0.046206
sirius,q17,0,0.056143
sirius,q17,1,0.033903
sirius,q17,2,0.034141
sirius,q18,0,0.134920
sirius,q18,1,0.134085
sirius,q18,2,0.133589
sirius,q19,0,0.072397
sirius,q19,1,0.038023
sirius,q19,2,0.038078
sirius,q20,0,0.047706
sirius,q20,1,0.039252
sirius,q20,2,0.039431
sirius,q21,0,0.113806
sirius,q21,1,0.098191
sirius,q21,2,0.098382
sirius,q22,0,0.039259
sirius,q22,1,0.021896
sirius,q22,2,0.021612
