q,traced_ms,phys_knobs1_ms,ident_pct
1,498.8,498.3,-0.09
2,106.5,106.3,-0.19
3,220.1,219.8,-0.14
4,179.2,179.0,-0.11
5,242.8,242.6,-0.07
6,59.8,59.6,-0.25
7,262.1,261.9,-0.07
8,198.1,197.7,-0.18
9,842.7,842.5,-0.03
10,243.2,243.1,-0.07
11,203.1,202.9,-0.08
12,193.1,193.0,-0.08
13,770.7,770.5,-0.03
14,78.5,78.3,-0.20
15,80.8,80.5,-0.34
16,306.7,306.5,-0.06
17,181.4,181.1,-0.16
18,858.5,858.4,-0.02
19,229.0,228.8,-0.10
20,142.8,142.6,-0.11
21,628.0,627.8,-0.03
22,128.2,128.1,-0.14
