row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-GC200,1,gpu_compute=2.0,383.4,469.2,executor_threads,0,2,100.0
SW-GC200,2,gpu_compute=2.0,49.2,51.2,dependencies,0,2,100.0
SW-GC200,3,gpu_compute=2.0,192.1,206.6,executor_threads,0,2,100.0
SW-GC200,4,gpu_compute=2.0,162.3,168.3,executor_threads,0,2,100.0
SW-GC200,5,gpu_compute=2.0,215.5,227.5,executor_threads,0,2,100.0
SW-GC200,6,gpu_compute=2.0,46.9,49.4,executor_threads,0,2,100.0
SW-GC200,7,gpu_compute=2.0,214.7,227.0,executor_threads,0,2,100.0
SW-GC200,8,gpu_compute=2.0,169.9,182.0,executor_threads,0,2,100.0
SW-GC200,9,gpu_compute=2.0,803.4,841.5,executor_threads,0,2,100.0
SW-GC200,10,gpu_compute=2.0,205.2,233.7,executor_threads,0,2,100.0
SW-GC200,11,gpu_compute=2.0,190.9,196.1,dependencies,0,2,100.0
SW-GC200,12,gpu_compute=2.0,157.8,166.0,executor_threads,0,2,100.0
SW-GC200,13,gpu_compute=2.0,538.2,766.2,executor_threads,0,2,100.0
SW-GC200,14,gpu_compute=2.0,53.6,75.9,executor_threads,0,2,100.0
SW-GC200,15,gpu_compute=2.0,62.6,72.5,executor_threads,0,2,100.0
SW-GC200,16,gpu_compute=2.0,178.4,275.9,dependencies,0,2,100.0
SW-GC200,17,gpu_compute=2.0,152.0,155.8,executor_threads,0,2,100.0
SW-GC200,18,gpu_compute=2.0,850.8,854.8,executor_threads,0,2,100.0
SW-GC200,19,gpu_compute=2.0,177.6,184.6,executor_threads,0,2,100.0
SW-GC200,20,gpu_compute=2.0,131.6,131.7,executor_threads,0,2,100.0
SW-GC200,21,gpu_compute=2.0,592.6,618.8,executor_threads,0,2,100.0
SW-GC200,22,gpu_compute=2.0,75.7,107.1,dependencies,0,2,100.0
