query,iter,wall_s
1,1,9.282
1,2,9.426
1,3,9.436
1,4,9.375
9,1,13.079
9,2,13.128
9,3,13.118
9,4,13.077
13,1,6.096
13,2,6.025
13,3,6.085
13,4,6.057
19,1,8.924
19,2,8.902
19,3,9.023
19,4,8.873
21,1,18.189
21,2,18.28
21,3,18.429
21,4,18.289
