index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,E1-75_tpch_q1_iter1_iter1,9376.422,9366.869,-0.1,1132,executor_threads,0,0
1,E1-75_tpch_q1_iter2_iter1,8490.942,8483.802,-0.08,1132,executor_threads,0,0
2,E1-75_tpch_q1_iter3_iter1,8461.983,8451.891,-0.12,1132,executor_threads,0,0
3,E1-75_tpch_q1_iter4_iter1,8447.363,8439.769,-0.09,1132,executor_threads,0,0
4,E1-75_tpch_q9_iter1_iter1,12914.791,12914.145,-0.01,1651,executor_threads,0,0
5,E1-75_tpch_q9_iter2_iter1,13052.231,13046.984,-0.04,1654,executor_threads,0,0
6,E1-75_tpch_q9_iter3_iter1,13010.677,12999.589,-0.09,1663,executor_threads,0,0
7,E1-75_tpch_q9_iter4_iter1,13047.914,13050.967,0.02,1690,executor_threads,0,0
8,E1-75_tpch_q13_iter1_iter1,5957.707,5964.091,0.11,532,executor_threads,0,0
9,E1-75_tpch_q13_iter2_iter1,5937.704,5932.861,-0.08,532,executor_threads,0,0
10,E1-75_tpch_q13_iter3_iter1,5988.897,5992.338,0.06,532,executor_threads,0,0
11,E1-75_tpch_q13_iter4_iter1,5955.193,5955.928,0.01,532,executor_threads,0,0
12,E1-75_tpch_q19_iter1_iter1,8561.986,8561.423,-0.01,1316,executor_threads,0,0
13,E1-75_tpch_q19_iter2_iter1,8611.176,8610.589,-0.01,1316,executor_threads,0,0
14,E1-75_tpch_q19_iter3_iter1,8655.452,8655.176,-0.0,1316,executor_threads,0,0
15,E1-75_tpch_q19_iter4_iter1,8523.01,8522.747,-0.0,1316,executor_threads,0,0
16,E1-75_tpch_q21_iter1_iter1,18368.964,18365.18,-0.02,2336,executor_threads,0,0
17,E1-75_tpch_q21_iter2_iter1,18663.379,18659.828,-0.02,2384,executor_threads,0,0
18,E1-75_tpch_q21_iter3_iter1,18294.543,18290.84,-0.02,2336,executor_threads,0,0
19,E1-75_tpch_q21_iter4_iter1,18579.198,18575.143,-0.02,2372,executor_threads,0,0
