query,iter,wall_s
1,1,8.026
1,2,7.815
1,3,7.959
1,4,7.836
9,1,12.579
9,2,12.614
9,3,12.644
9,4,12.567
13,1,5.575
13,2,5.543
13,3,5.482
13,4,5.472
19,1,8.459
19,2,8.399
19,3,8.389
19,4,8.42
21,1,17.585
21,2,17.313
21,3,17.212
21,4,17.504
