row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
R3phys,6,c2c_bandwidth=0.5038;cpu_mem_bandwidth=0.5383;gpu_mem_bandwidth=0.8922,956.3,573.4,executor_threads,0,3,100.0
R3phys,14,c2c_bandwidth=0.5038;cpu_mem_bandwidth=0.5383;gpu_mem_bandwidth=0.8922,1079.1,716.0,executor_threads,0,3,100.0
