index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,E5-70_tpch_q1_iter1_iter1,8075.117,8065.302,-0.12,1132,executor_threads,0,0
1,E5-70_tpch_q1_iter2_iter1,7957.637,7950.694,-0.09,1132,executor_threads,0,0
2,E5-70_tpch_q1_iter3_iter1,7985.833,7979.225,-0.08,1132,executor_threads,0,0
3,E5-70_tpch_q1_iter4_iter1,7957.286,7948.688,-0.11,1132,executor_threads,0,0
4,E5-70_tpch_q9_iter1_iter1,12589.605,12593.137,0.03,1660,executor_threads,0,0
5,E5-70_tpch_q9_iter2_iter1,12501.102,12504.417,0.03,1651,executor_threads,0,0
6,E5-70_tpch_q9_iter3_iter1,12684.781,12693.152,0.07,1687,executor_threads,0,0
7,E5-70_tpch_q9_iter4_iter1,12741.66,12735.532,-0.05,1630,executor_threads,0,0
8,E5-70_tpch_q13_iter1_iter1,5641.227,5634.226,-0.12,532,executor_threads,0,0
9,E5-70_tpch_q13_iter2_iter1,5459.589,5458.447,-0.02,532,executor_threads,0,0
10,E5-70_tpch_q13_iter3_iter1,5573.205,5577.021,0.07,532,executor_threads,0,0
11,E5-70_tpch_q13_iter4_iter1,5471.682,5464.84,-0.13,532,executor_threads,0,0
12,E5-70_tpch_q19_iter1_iter1,8535.385,8535.096,-0.0,1316,executor_threads,0,0
13,E5-70_tpch_q19_iter2_iter1,8491.934,8491.668,-0.0,1316,executor_threads,0,0
14,E5-70_tpch_q19_iter3_iter1,8529.45,8528.907,-0.01,1316,executor_threads,0,0
15,E5-70_tpch_q19_iter4_iter1,8566.599,8566.278,-0.0,1316,executor_threads,0,0
16,E5-70_tpch_q21_iter1_iter1,17547.336,17545.11,-0.01,2315,executor_threads,0,0
17,E5-70_tpch_q21_iter2_iter1,17513.055,17509.881,-0.02,2300,executor_threads,0,0
18,E5-70_tpch_q21_iter3_iter1,17558.863,17556.394,-0.01,2357,executor_threads,0,0
19,E5-70_tpch_q21_iter4_iter1,17388.527,17385.652,-0.02,2264,executor_threads,0,0
