query,median_wall_s,n,iters_used
1,0.895,2,2|3
2,0.089,2,2|3
3,0.385,2,2|3
4,0.324,2,2|3
5,0.443,2,2|3
6,0.101,2,2|3
7,0.430,2,2|3
8,0.350,2,2|3
9,1.540,2,2|3
10,0.433,2,2|3
11,0.382,2,2|3
12,0.320,2,2|3
13,1.321,2,2|3
14,0.147,2,2|3
15,0.133,2,2|3
16,0.530,2,2|3
17,0.321,2,2|3
18,1.486,2,2|3
19,0.329,2,2|3
20,0.255,2,2|3
21,1.126,2,2|3
22,0.200,2,2|3
