query,iter,wall_s
1,1,7.865
1,2,7.947
1,3,7.867
1,4,7.856
9,1,12.496
9,2,12.655
9,3,12.516
9,4,12.534
13,1,5.46
13,2,5.452
13,3,5.523
13,4,5.475
19,1,8.39
19,2,8.43
19,3,8.481
19,4,8.471
21,1,17.525
21,2,17.646
21,3,17.496
21,4,17.364
