row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-MC050,1,gpu_mem_capacity=0.5,481.8,469.2,executor_threads,0,2,100.0
SW-MC050,2,gpu_mem_capacity=0.5,51.2,51.2,dependencies,0,2,100.0
SW-MC050,3,gpu_mem_capacity=0.5,206.6,206.6,executor_threads,0,2,100.0
SW-MC050,4,gpu_mem_capacity=0.5,201.8,168.3,gpu_memory,0,2,100.0
SW-MC050,5,gpu_mem_capacity=0.5,227.5,227.5,executor_threads,0,2,100.0
SW-MC050,6,gpu_mem_capacity=0.5,55.9,49.4,executor_threads,0,2,100.0
SW-MC050,7,gpu_mem_capacity=0.5,227.0,227.0,executor_threads,0,2,100.0
SW-MC050,8,gpu_mem_capacity=0.5,182.0,182.0,executor_threads,0,2,100.0
SW-MC050,9,gpu_mem_capacity=0.5,841.5,841.5,executor_threads,0,2,100.0
SW-MC050,10,gpu_mem_capacity=0.5,233.7,233.7,executor_threads,0,2,100.0
SW-MC050,11,gpu_mem_capacity=0.5,196.1,196.1,dependencies,0,2,100.0
SW-MC050,12,gpu_mem_capacity=0.5,166.0,166.0,executor_threads,0,2,100.0
SW-MC050,13,gpu_mem_capacity=0.5,850.6,766.2,gpu_memory,0,2,100.0
SW-MC050,14,gpu_mem_capacity=0.5,75.9,75.9,executor_threads,0,2,100.0
SW-MC050,15,gpu_mem_capacity=0.5,84.3,72.5,executor_threads,0,2,100.0
SW-MC050,16,gpu_mem_capacity=0.5,275.9,275.9,dependencies,0,2,100.0
SW-MC050,17,gpu_mem_capacity=0.5,155.8,155.8,executor_threads,0,2,100.0
SW-MC050,18,gpu_mem_capacity=0.5,973.6,854.8,gpu_memory,0,2,100.0
SW-MC050,19,gpu_mem_capacity=0.5,208.5,184.6,executor_threads,0,2,100.0
SW-MC050,20,gpu_mem_capacity=0.5,131.7,131.7,executor_threads,0,2,100.0
SW-MC050,21,gpu_mem_capacity=0.5,623.1,618.8,executor_threads,0,2,100.0
SW-MC050,22,gpu_mem_capacity=0.5,107.1,107.1,dependencies,0,2,100.0
