query,iter,wall_s
1,1,12.482
1,2,12.352
1,3,12.141
9,1,16.055
9,2,16.016
9,3,16.077
13,1,8.177
13,2,7.454
13,3,8.068
19,1,10.903
19,2,11.14
19,3,11.115
21,1,26.859
21,2,25.993
21,3,26.127
