row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n,pct_span_matched
SW-CC025,1,c2c_bandwidth=0.25,469.7,469.2,executor_threads,0,2,100.0
SW-CC025,2,c2c_bandwidth=0.25,51.8,51.2,dependencies,0,2,100.0
SW-CC025,3,c2c_bandwidth=0.25,207.1,206.6,executor_threads,0,2,100.0
SW-CC025,4,c2c_bandwidth=0.25,168.5,168.3,executor_threads,0,2,100.0
SW-CC025,5,c2c_bandwidth=0.25,227.8,227.5,executor_threads,0,2,100.0
SW-CC025,6,c2c_bandwidth=0.25,49.7,49.4,executor_threads,0,2,100.0
SW-CC025,7,c2c_bandwidth=0.25,227.3,227.0,executor_threads,0,2,100.0
SW-CC025,8,c2c_bandwidth=0.25,182.2,182.0,executor_threads,0,2,100.0
SW-CC025,9,c2c_bandwidth=0.25,841.8,841.5,executor_threads,0,2,100.0
SW-CC025,10,c2c_bandwidth=0.25,234.1,233.7,executor_threads,0,2,100.0
SW-CC025,11,c2c_bandwidth=0.25,196.2,196.1,dependencies,0,2,100.0
SW-CC025,12,c2c_bandwidth=0.25,166.2,166.0,executor_threads,0,2,100.0
SW-CC025,13,c2c_bandwidth=0.25,771.1,766.2,executor_threads,0,2,100.0
SW-CC025,14,c2c_bandwidth=0.25,76.2,75.9,executor_threads,0,2,100.0
SW-CC025,15,c2c_bandwidth=0.25,72.8,72.5,executor_threads,0,2,100.0
SW-CC025,16,c2c_bandwidth=0.25,276.3,275.9,dependencies,0,2,100.0
SW-CC025,17,c2c_bandwidth=0.25,156.0,155.8,executor_threads,0,2,100.0
SW-CC025,18,c2c_bandwidth=0.25,854.9,854.8,executor_threads,0,2,100.0
SW-CC025,19,c2c_bandwidth=0.25,185.8,184.6,executor_threads,0,2,100.0
SW-CC025,20,c2c_bandwidth=0.25,132.2,131.7,executor_threads,0,2,100.0
SW-CC025,21,c2c_bandwidth=0.25,619.1,618.8,executor_threads,0,2,100.0
SW-CC025,22,c2c_bandwidth=0.25,107.3,107.1,dependencies,0,2,100.0
