row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n
E5-49,9,c2c_bandwidth=0.5031;gpu_mem_bandwidth=0.9137,13634.9,12494.7,executor_threads,0,3
E5-49,21,c2c_bandwidth=0.5031;gpu_mem_bandwidth=0.9137,19063.2,17447.0,executor_threads,0,3
