query,iter,wall_s
1,1,8.292
1,2,7.883
1,3,7.878
9,1,12.557
9,2,12.685
9,3,12.564
13,1,5.823
13,2,5.694
13,3,5.562
19,1,8.45
19,2,8.4
19,3,8.463
21,1,17.427
21,2,17.554
21,3,17.695
