query,iter,wall_s
1,1,7.935
1,2,7.876
1,3,7.859
3,1,7.676
3,2,7.796
3,3,7.846
5,1,9.467
5,2,9.405
5,3,9.415
6,1,5.24
6,2,5.31
6,3,5.22
9,1,12.625
9,2,12.585
9,3,12.554
13,1,5.601
13,2,5.452
13,3,5.453
18,1,5.223
18,2,5.331
18,3,4.97
19,1,8.36
19,2,8.47
19,3,8.419
21,1,17.736
21,2,17.613
21,3,17.473
