query,iter,wall_s
1,1,9.922
1,2,9.744
1,3,9.738
1,4,9.706
9,1,13.902
9,2,13.943
9,3,14.094
9,4,13.975
13,1,6.661
13,2,6.609
13,3,6.679
13,4,6.639
19,1,9.127
19,2,9.18
19,3,9.118
19,4,9.134
21,1,20.362
21,2,20.954
21,3,20.521
21,4,20.581
