query,iter,wall_s
1,1,8.096
1,2,7.977
1,3,8.008
1,4,7.976
9,1,12.619
9,2,12.534
9,3,12.715
9,4,12.776
13,1,5.662
13,2,5.485
13,3,5.603
13,4,5.494
19,1,8.571
19,2,8.512
19,3,8.562
19,4,8.601
21,1,17.598
21,2,17.564
21,3,17.603
21,4,17.443
