query,iter,wall_s
1,1,8.005
1,2,7.907
1,3,7.916
9,1,12.547
9,2,12.564
9,3,12.545
13,1,5.625
13,2,5.512
13,3,5.411
19,1,8.48
19,2,8.43
19,3,8.45
21,1,195.392
21,2,195.647
21,3,196.868
