query,iter,wall_s
1,1,7.895
1,2,7.847
1,3,7.887
3,1,7.716
3,2,7.706
3,3,7.776
5,1,9.536
5,2,9.435
5,3,9.405
6,1,5.29
6,2,5.281
6,3,5.21
9,1,12.515
9,2,12.565
9,3,12.606
13,1,5.612
13,2,5.441
13,3,5.456
18,1,5.363
18,2,5.2
18,3,5.06
19,1,8.388
19,2,8.419
19,3,8.476
21,1,17.439
21,2,17.474
21,3,17.424
