row,query,knobs,median_sim_wall_ms,median_sim_baseline_ms,binding,forced_admissions,n
SW-GC125v0,1,gpu_compute=1.25,375.6,469.2,executor_threads,0,2
SW-GC125v0,2,gpu_compute=1.25,47.0,51.2,dependencies,0,2
SW-GC125v0,3,gpu_compute=1.25,180.1,206.6,executor_threads,0,2
SW-GC125v0,4,gpu_compute=1.25,162.2,168.3,executor_threads,0,2
SW-GC125v0,5,gpu_compute=1.25,195.4,227.5,executor_threads,0,2
SW-GC125v0,6,gpu_compute=1.25,39.7,49.4,executor_threads,0,2
SW-GC125v0,7,gpu_compute=1.25,215.7,227.0,executor_threads,0,2
SW-GC125v0,8,gpu_compute=1.25,159.5,182.0,executor_threads,0,2
SW-GC125v0,9,gpu_compute=1.25,753.8,841.5,executor_threads,0,2
SW-GC125v0,10,gpu_compute=1.25,218.2,233.7,executor_threads,0,2
SW-GC125v0,11,gpu_compute=1.25,174.6,196.1,dependencies,0,2
SW-GC125v0,12,gpu_compute=1.25,157.9,166.0,executor_threads,0,2
SW-GC125v0,13,gpu_compute=1.25,674.5,766.2,executor_threads,0,2
SW-GC125v0,14,gpu_compute=1.25,61.5,75.9,executor_threads,0,2
SW-GC125v0,15,gpu_compute=1.25,58.8,72.5,executor_threads,0,2
SW-GC125v0,16,gpu_compute=1.25,229.7,275.9,dependencies,0,2
SW-GC125v0,17,gpu_compute=1.25,141.5,155.8,executor_threads,0,2
SW-GC125v0,18,gpu_compute=1.25,840.4,854.8,executor_threads,0,2
SW-GC125v0,19,gpu_compute=1.25,157.0,184.6,executor_threads,0,2
SW-GC125v0,20,gpu_compute=1.25,130.0,131.7,executor_threads,0,2
SW-GC125v0,21,gpu_compute=1.25,584.1,618.8,executor_threads,0,2
SW-GC125v0,22,gpu_compute=1.25,93.6,107.1,dependencies,0,2
