query,iter,wall_s
1,1,7.964
1,2,7.856
1,3,7.827
1,4,7.885
9,1,12.616
9,2,12.576
9,3,12.604
9,4,12.524
13,1,5.491
13,2,5.422
13,3,5.412
13,4,5.572
19,1,8.459
19,2,8.482
19,3,8.41
19,4,8.45
21,1,17.307
21,2,17.392
21,3,17.252
21,4,17.473
