query,median_wall_s,n,iters_used
1,0.470,2,2|3
2,0.068,2,2|3
3,0.224,2,2|3
4,0.182,2,2|3
5,0.249,2,2|3
6,0.060,2,2|3
7,0.247,2,2|3
8,0.205,2,2|3
9,0.869,2,2|3
10,0.254,2,2|3
11,0.205,2,2|3
12,0.180,2,2|3
13,0.780,2,2|3
14,0.091,2,2|3
15,0.085,2,2|3
16,0.287,2,2|3
17,0.181,2,2|3
18,0.885,2,2|3
19,0.200,2,2|3
20,0.155,2,2|3
21,0.653,2,2|3
22,0.121,2,2|3
