query,iter,wall_s
1,1,9.403
1,2,8.52
1,3,8.493
1,4,8.459
9,1,12.956
9,2,13.09
9,3,13.038
9,4,13.078
13,1,5.974
13,2,5.966
13,3,6.015
13,4,5.976
19,1,8.596
19,2,8.642
19,3,8.681
19,4,8.54
21,1,18.421
21,2,18.711
21,3,18.339
21,4,18.621
