index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,E4-73_tpch_q1_iter1_iter1,9260.882,9250.941,-0.11,1132,executor_threads,0,0
1,E4-73_tpch_q1_iter2_iter1,9409.641,9400.35,-0.1,1132,executor_threads,0,0
2,E4-73_tpch_q1_iter3_iter1,9413.517,9406.239,-0.08,1132,executor_threads,0,0
3,E4-73_tpch_q1_iter4_iter1,9356.543,9349.44,-0.08,1132,executor_threads,0,0
4,E4-73_tpch_q9_iter1_iter1,13048.825,13043.177,-0.04,1678,executor_threads,0,0
5,E4-73_tpch_q9_iter2_iter1,13089.728,13095.295,0.04,1666,executor_threads,0,0
6,E4-73_tpch_q9_iter3_iter1,13088.329,13081.261,-0.05,1672,executor_threads,0,0
7,E4-73_tpch_q9_iter4_iter1,13043.97,13046.17,0.02,1663,executor_threads,0,0
8,E4-73_tpch_q13_iter1_iter1,6078.701,6076.422,-0.04,532,executor_threads,0,0
9,E4-73_tpch_q13_iter2_iter1,6008.029,6018.642,0.18,532,executor_threads,0,0
10,E4-73_tpch_q13_iter3_iter1,6069.765,6067.845,-0.03,532,executor_threads,0,0
11,E4-73_tpch_q13_iter4_iter1,6036.979,6025.2,-0.2,532,executor_threads,0,0
12,E4-73_tpch_q19_iter1_iter1,8898.902,8898.242,-0.01,1316,executor_threads,0,0
13,E4-73_tpch_q19_iter2_iter1,8877.667,8877.384,-0.0,1316,executor_threads,0,0
14,E4-73_tpch_q19_iter3_iter1,8994.27,8993.993,-0.0,1316,executor_threads,0,0
15,E4-73_tpch_q19_iter4_iter1,8842.135,8841.857,-0.0,1316,executor_threads,0,0
16,E4-73_tpch_q21_iter1_iter1,18141.979,18137.528,-0.02,2342,executor_threads,0,0
17,E4-73_tpch_q21_iter2_iter1,18235.56,18231.979,-0.02,2348,executor_threads,0,0
18,E4-73_tpch_q21_iter3_iter1,18384.534,18381.152,-0.02,2351,executor_threads,0,0
19,E4-73_tpch_q21_iter4_iter1,18235.798,18231.903,-0.02,2363,executor_threads,0,0
