index,label,traced_ms,sim_ms,err_pct,tasks,binding,forced_admissions,dep_cycle_breaks
0,B3_tpch_q1_iter1_iter1,7944.505,7935.294,-0.12,1133,executor_threads,0,0
1,B3_tpch_q1_iter2_iter1,7843.079,7836.094,-0.09,1133,executor_threads,0,0
2,B3_tpch_q1_iter3_iter1,7813.207,7805.989,-0.09,1133,executor_threads,0,0
3,B3_tpch_q1_iter4_iter1,7873.519,7864.7,-0.11,1133,executor_threads,0,0
4,B3_tpch_q9_iter1_iter1,12586.427,12582.484,-0.03,1667,executor_threads,0,0
5,B3_tpch_q9_iter2_iter1,12541.584,12538.653,-0.02,1670,executor_threads,0,0
6,B3_tpch_q9_iter3_iter1,12572.482,12566.927,-0.04,1661,executor_threads,0,0
7,B3_tpch_q9_iter4_iter1,12491.334,12485.028,-0.05,1682,executor_threads,0,0
8,B3_tpch_q13_iter1_iter1,5472.142,5463.974,-0.15,537,executor_threads,0,0
9,B3_tpch_q13_iter2_iter1,5402.943,5399.669,-0.06,537,executor_threads,0,0
10,B3_tpch_q13_iter3_iter1,5390.981,5396.317,0.1,537,executor_threads,0,0
11,B3_tpch_q13_iter4_iter1,5561.149,5560.771,-0.01,537,executor_threads,0,0
12,B3_tpch_q19_iter1_iter1,8438.46,8438.185,-0.0,1316,executor_threads,0,0
13,B3_tpch_q19_iter2_iter1,8463.645,8463.075,-0.01,1316,executor_threads,0,0
14,B3_tpch_q19_iter3_iter1,8385.06,8384.801,-0.0,1316,executor_threads,0,0
15,B3_tpch_q19_iter4_iter1,8427.756,8427.506,-0.0,1316,executor_threads,0,0
16,B3_tpch_q21_iter1_iter1,17254.585,17247.15,-0.04,2281,executor_threads,0,0
17,B3_tpch_q21_iter2_iter1,17343.441,17343.552,0.0,2335,executor_threads,0,0
18,B3_tpch_q21_iter3_iter1,17202.405,17200.439,-0.01,2308,executor_threads,0,0
19,B3_tpch_q21_iter4_iter1,17431.95,17428.264,-0.02,2332,executor_threads,0,0
