query,iter,wall_s
1,1,9.344
1,2,9.475
1,3,9.908
1,4,9.687
9,1,13.38
9,2,14.043
9,3,13.902
9,4,13.932
13,1,6.547
13,2,6.529
13,3,6.639
13,4,6.529
19,1,10.291
19,2,9.989
19,3,10.061
19,4,10.061
21,1,19.176
21,2,19.074
21,3,19.255
21,4,19.307
